ID,mushroom_id,cap-shape,cap-surface,cap-color,bruises,number_of_bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
1088,1325,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1089,1326,bell,smooth,yellow,bruises,19,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,numerous,grasses,e
1090,1327,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1091,1328,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1092,1329,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1093,1330,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1094,1331,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1095,1332,flat,smooth,brown,bruises,10,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
1096,1333,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1097,1334,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1098,1335,convex,fibrous,brown,bruises,9,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,pink,gray,partial,white,1,pendant,black,solitary,woods,e
1099,1336,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1100,1337,convex,fibrous,red,bruises,5,None,gills free from stalk,close,broad,purple,stalk tapers toward base,bulbous,smooth,smooth,white,pink,partial,white,1,pendant,brown,solitary,woods,e
1101,1338,convex,scaly,yellow,bruises,6,almond,gills free from stalk,close,broad,brown,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,brown,numerous,grasses,e
1102,1339,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1103,1340,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1104,1341,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1105,1342,flat,smooth,white,bruises,20,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,p
1106,1343,flat,fibrous,gray,bruises,2,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,brown,solitary,woods,e
1107,1344,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1108,1345,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1109,1346,flat,scaly,brown,bruises,24,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
1110,1347,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1111,1348,convex,fibrous,brown,bruises,13,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,gray,white,partial,white,1,pendant,brown,solitary,woods,e
1112,1349,convex,scaly,gray,bruises,6,None,gills free from stalk,close,broad,purple,stalk tapers toward base,bulbous,smooth,smooth,white,pink,partial,white,1,pendant,brown,several,woods,e
1113,1350,convex,scaly,gray,bruises,5,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,brown,several,woods,e
1114,1351,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1115,1352,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1116,1353,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1117,1354,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1118,1355,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1119,1356,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1120,1357,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1121,1358,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1122,1359,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1123,1360,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1124,1361,flat,scaly,brown,bruises,1,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,p
1125,1362,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1126,1363,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1127,1364,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1128,1365,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1129,1366,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1130,1367,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1131,1368,convex,fibrous,gray,bruises,21,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,gray,gray,partial,white,1,pendant,black,several,woods,e
1132,1369,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1133,1370,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1134,1371,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1135,1372,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1136,1373,bell,smooth,yellow,bruises,22,anise,gills free from stalk,close,broad,gray,stalk enlarges toward base,club,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,e
1137,1374,convex,scaly,brown,bruises,21,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
1138,1375,flat,smooth,brown,bruises,6,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
1139,1376,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1140,1377,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1141,1378,flat,scaly,brown,bruises,6,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
1142,1379,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1143,1380,convex,smooth,white,bruises,23,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
1144,1381,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1145,1382,flat,scaly,white,bruises,16,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
1146,1383,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1147,1384,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1148,1385,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1149,1386,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1150,1387,convex,fibrous,gray,bruises,4,None,gills free from stalk,close,broad,white,stalk tapers toward base,bulbous,smooth,smooth,white,pink,partial,white,1,pendant,brown,several,woods,e
1151,1388,convex,fibrous,brown,bruises,11,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,gray,pink,partial,white,1,pendant,black,several,woods,e
1152,1389,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1153,1390,convex,fibrous,gray,bruises,24,None,gills free from stalk,close,broad,white,stalk tapers toward base,bulbous,smooth,smooth,gray,white,partial,white,1,pendant,black,solitary,woods,e
1154,1391,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1155,1392,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1156,1393,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1157,1394,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1158,1395,convex,fibrous,brown,bruises,23,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,white,pink,partial,white,1,pendant,brown,solitary,woods,e
1159,1396,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1160,1397,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1161,1398,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1162,1399,flat,scaly,white,bruises,9,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,grasses,p
1163,1400,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1164,1401,flat,scaly,yellow,bruises,23,almond,gills free from stalk,close,broad,pink,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,brown,solitary,grasses,e
1165,1402,convex,fibrous,gray,bruises,3,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,gray,pink,partial,white,1,pendant,black,solitary,woods,e
1166,1403,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1167,1404,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1168,1405,flat,scaly,white,bruises,19,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
1169,1406,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1170,1407,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1171,1408,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1172,1409,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1173,1410,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1174,1411,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1175,1412,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1176,1413,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1177,1414,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1178,1415,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1179,1417,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1180,1418,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1181,1419,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1182,1420,convex,smooth,white,bruises,5,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
1183,1421,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1184,1422,convex,fibrous,brown,bruises,4,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,gray,pink,partial,white,1,pendant,brown,several,woods,e
1185,1423,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1186,1424,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1187,1425,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1188,1426,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1189,1427,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1190,1428,flat,scaly,brown,bruises,24,anise,gills free from stalk,close,broad,brown,stalk enlarges toward base,,smooth,scaly,white,white,partial,white,1,pendant,black,scattered,paths,e
1191,1429,flat,scaly,brown,bruises,6,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,p
1192,1430,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1193,1431,convex,fibrous,brown,bruises,2,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,black,several,woods,e
1194,1432,flat,scaly,white,bruises,20,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
1195,1433,convex,smooth,white,bruises,11,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,urban,p
1196,1434,flat,smooth,brown,bruises,4,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
1197,1435,convex,fibrous,brown,bruises,15,None,gills free from stalk,close,broad,purple,stalk tapers toward base,bulbous,smooth,smooth,gray,pink,partial,white,1,pendant,black,solitary,woods,e
1198,1437,flat,scaly,white,bruises,22,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
1199,1438,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1200,1439,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1201,1440,convex,fibrous,brown,bruises,17,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,gray,pink,partial,white,1,pendant,black,solitary,woods,e
1202,1441,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1203,1442,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1204,1443,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1205,1444,flat,scaly,brown,bruises,24,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
1206,1445,flat,scaly,white,bruises,6,pungent,gills free from stalk,close,narrow,white,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,grasses,p
1207,1446,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1208,1447,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1209,1448,convex,fibrous,brown,bruises,19,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,pink,gray,partial,white,1,pendant,black,several,woods,e
1210,1449,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1211,1450,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1212,1451,flat,smooth,brown,bruises,2,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,urban,p
1213,1452,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1214,1453,flat,scaly,brown,bruises,15,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,several,grasses,p
1215,1454,convex,smooth,gray,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1216,1455,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1217,1456,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1218,1457,convex,fibrous,brown,bruises,11,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,pink,pink,partial,white,1,pendant,brown,solitary,woods,e
1219,1458,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1220,1459,flat,smooth,white,bruises,8,pungent,gills free from stalk,close,narrow,black,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,brown,scattered,urban,p
1221,1460,convex,fibrous,brown,bruises,19,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,white,gray,partial,white,1,pendant,brown,several,woods,e
1222,1461,convex,smooth,white,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1223,1462,flat,smooth,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1224,1463,convex,smooth,white,bruises,13,almond,gills free from stalk,crowded,narrow,brown,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
1225,1464,convex,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1226,1465,convex,scaly,gray,bruises,12,None,gills free from stalk,close,broad,pink,stalk tapers toward base,bulbous,smooth,smooth,gray,white,partial,white,1,pendant,black,several,woods,e
1227,1466,convex,fibrous,brown,bruises,5,None,gills free from stalk,close,broad,brown,stalk tapers toward base,bulbous,smooth,smooth,gray,gray,partial,white,1,pendant,brown,solitary,woods,e
1228,1467,convex,smooth,yellow,bruises,6,almond,gills free from stalk,crowded,narrow,pink,stalk tapers toward base,bulbous,smooth,smooth,white,white,partial,white,1,pendant,purple,several,woods,e
1229,1468,flat,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1230,1469,convex,smooth,brown,no,0,None,gills free from stalk,crowded,broad,brown,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,black,scattered,grasses,e
1231,1470,convex,scaly,red,bruises,22,None,gills free from stalk,close,broad,purple,stalk tapers toward base,bulbous,smooth,smooth,gray,white,partial,white,1,pendant,brown,solitary,woods,e
1232,1471,flat,smooth,gray,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1233,1472,flat,smooth,white,bruises,4,pungent,gills free from stalk,close,narrow,brown,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,several,urban,p
1234,1473,flat,fibrous,white,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1235,1474,convex,fibrous,gray,no,0,None,gills free from stalk,crowded,broad,grayish,stalk tapers toward base,equal,smooth,smooth,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1236,1475,flat,fibrous,brown,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,smooth,fibrous,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
1237,1476,flat,smooth,brown,no,0,None,gills free from stalk,crowded,broad,pink,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,black,abundant,grasses,e
1238,1477,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,fibrous,white,white,partial,white,1,evanescent,brown,abundant,grasses,e
1239,1478,flat,scaly,white,bruises,19,pungent,gills free from stalk,close,narrow,pink,stalk enlarges toward base,equal,smooth,smooth,white,white,partial,white,1,pendant,black,scattered,grasses,p
1240,1479,convex,fibrous,white,no,0,None,gills free from stalk,crowded,broad,black,stalk tapers toward base,equal,fibrous,smooth,white,white,partial,white,1,evanescent,brown,scattered,grasses,e
